ID,Exercise Name,Category,Difficulty
730,"Abdominal Bracing",core,beginner
770,"Agility Ladder Drills",cardio,advanced
701,"Ankle Circles",lower_body,beginner
700,"Ankle Pumps",lower_body,beginner
720,"Bicep Curls (Light Weight)",upper_body,beginner
732,"Bird Dog (Modified)",core,intermediate
788,"Bird Dog Exercise",core,intermediate
792,"Bosu Ball Balance",balance,intermediate
766,"Bosu Ball Squats",balance,advanced
782,"Bowling",upper_body,beginner
793,"Box Breathing",breathing,beginner
721,"Brisk Walking",cardio,intermediate
750,"Calf Stretch (Wall)",flexibility,beginner
767,"Carrying Objects (Farmer's Walk)",upper_body,advanced
746,"Cat-Cow Stretch",flexibility,beginner
751,"Chest Doorway Stretch",flexibility,beginner
729,"Chest Fly (Light Weight)",upper_body,intermediate
773,"Cycling (Outdoor, Easy)",cardio,beginner
774,"Cycling (Outdoor, Moderate)",cardio,intermediate
777,"Dancing (Social)",cardio,intermediate
789,"Dead Bug Exercise",core,beginner
759,"Deadlift (Light Weight)",lower_body,advanced
696,"Deep Breathing Exercise",breathing,beginner
698,"Diaphragmatic Breathing",breathing,beginner
794,"Doorway Chest Stretch",flexibility,beginner
740,"Dumbbell Chest Press",upper_body,intermediate
724,"Elliptical Training",cardio,intermediate
787,"Foam Roller Upper Back",flexibility,beginner
758,"Full Squats",lower_body,advanced
779,"Gardening (Light)",flexibility,beginner
780,"Gardening (Moderate)",core,intermediate
778,"Golf (Walking)",cardio,intermediate
756,"Group Exercise Class",cardio,intermediate
747,"Hamstring Stretch (Seated)",flexibility,beginner
743,"Heel-to-Toe Walk",balance,intermediate
705,"Heel Slides",lower_body,beginner
775,"Hiking (Easy Trail)",cardio,beginner
776,"Hiking (Moderate Trail)",cardio,intermediate
749,"Hip Flexor Stretch",flexibility,beginner
697,"Incentive Spirometer",breathing,beginner
722,"Incline Walking (Treadmill)",cardio,intermediate
734,"Interval Walking",cardio,intermediate
781,"Kayaking (Calm Water)",cardio,intermediate
727,"Lat Pulldown (Light Weight)",upper_body,intermediate
738,"Leg Press (Light Weight)",lower_body,intermediate
757,"Light Jogging Intervals",cardio,advanced
737,"Lunges (Supported)",lower_body,intermediate
704,"Marching in Place (Seated)",cardio,beginner
725,"Mini Squats",lower_body,intermediate
764,"Mountain Climbers (Slow)",core,advanced
710,"Neck Rotation Stretch",flexibility,beginner
753,"Outdoor Walking",cardio,intermediate
728,"Overhead Press (Light Weight)",upper_body,intermediate
731,"Pelvic Tilts",core,beginner
772,"Pickleball",cardio,intermediate
762,"Plank",core,intermediate
761,"Pull-Ups (Assisted)",upper_body,advanced
699,"Pursed Lip Breathing",breathing,beginner
739,"Push-Ups (Incline)",upper_body,intermediate
760,"Push-Ups (Standard)",upper_body,advanced
748,"Quadriceps Stretch (Standing)",flexibility,beginner
768,"Reaching and Lifting Practice",upper_body,intermediate
783,"Resistance Band Chest Press",upper_body,intermediate
785,"Resistance Band Leg Press",lower_body,beginner
784,"Resistance Band Shoulder External Rotation",upper_body,beginner
736,"Rowing Machine",cardio,intermediate
702,"Seated Arm Raises (Assisted)",upper_body,beginner
706,"Seated Knee Extensions",lower_body,beginner
719,"Seated Row (Resistance Band)",upper_body,beginner
711,"Shoulder Rolls",flexibility,beginner
703,"Shoulder Shrugs",upper_body,beginner
745,"Side Leg Raises (Balance Challenge)",balance,intermediate
763,"Side Plank",core,advanced
790,"Side Plank (Knees)",core,intermediate
791,"Single Leg Balance (Eyes Closed)",balance,advanced
765,"Single Leg Deadlift",balance,advanced
742,"Single Leg Stance",balance,beginner
707,"Sit-to-Stand Practice",lower_body,beginner
713,"Slow Walking (Indoor)",cardio,beginner
735,"Stair Climbing",cardio,intermediate
769,"Stair Step Patterns",cardio,advanced
726,"Standing Calf Raises",lower_body,intermediate
733,"Standing Core Rotation",core,intermediate
795,"Standing Hamstring Stretch",flexibility,beginner
717,"Standing Hip Abduction",lower_body,beginner
718,"Standing Hip Extension",lower_body,beginner
744,"Standing Knee Raises (Balance)",balance,intermediate
709,"Standing March",cardio,beginner
715,"Stationary Bike (Low Resistance)",cardio,beginner
723,"Stationary Bike (Moderate Resistance)",cardio,intermediate
716,"Step-Ups (Low Step)",lower_body,beginner
754,"Swimming (Easy Pace)",cardio,intermediate
771,"Tennis (Doubles)",cardio,intermediate
714,"Treadmill Walking (Level)",cardio,beginner
741,"Tricep Dips (Supported)",upper_body,intermediate
752,"Upper Back Stretch",flexibility,beginner
708,"Wall Push-Ups (Modified)",upper_body,beginner
786,"Wall Slides (Shoulder)",flexibility,beginner
755,"Water Aerobics",cardio,intermediate
712,"Wrist Circles",flexibility,beginner
